word,specfiles,rpms,as prefix,as suffix,meaning
at,8,11,4,2,
ro,8,10,0,10,
storage,8,23,0,5,
bind,8,22,15,5,
screensaver,8,10,0,5,
update,8,11,0,4,
et,8,10,0,10,
nb,8,11,0,11,
pt_BR,8,8,0,8,
disk,8,9,0,4,
xmms,8,10,5,3,
backend,8,28,0,4,
ssl,8,14,0,7,
mode,8,10,0,8,
asn1,8,14,0,3,
langpacks,8,87,80,7,translation
ftp,8,14,0,5,
gridftp,8,15,2,2,
auto,8,18,7,1,
prelude,8,23,11,6,
conduit,8,17,0,6,
hash,8,11,1,7,
vector,8,14,0,2,
validation,8,11,0,6,
format,8,12,0,9,
as,8,9,0,5,
eu,8,9,0,9,
ml,8,9,0,9,
mr,8,8,0,8,
or,8,8,0,6,
gluster,8,9,1,7,
menu,8,12,2,9,
list,8,9,0,7,
spf13,8,15,0,0,
notify,8,15,7,4,
misc,8,10,0,7,
webapp,8,11,0,7,
mecab,8,11,6,4,
services,8,11,0,8,
audio,8,13,2,3,
zh_CN,8,8,0,8,
kio,8,24,6,4,
krb5,8,16,7,4,
interface,8,14,0,9,
polkit,8,16,11,3,
set,8,9,0,5,
mongo,8,20,15,1,
nemo,8,18,13,4,
migrate,8,13,0,8,
elasticsearch,8,13,1,6,
Alien,8,8,0,1,
Fast,8,8,0,8,
serializer,8,9,0,8,
constant,8,9,2,2,
property,8,11,0,5,
poppler,8,44,16,4,
symbols,8,9,0,5,
unit,8,12,2,4,
version,8,12,0,4,
tex,8,28,2,7,
m17n,8,13,7,6,
protobuf,8,29,19,7,
log4j,8,19,12,4,
collections,8,20,0,8,
csv,8,17,0,5,
testng,8,13,3,5,
pg,8,10,1,3,
docbook,8,9,7,1,
ehcache,8,10,5,5,
safe,8,10,0,5,
parallel,8,12,0,5,
model,8,18,0,15,
lbjp,8,16,0,0,
mitchellh,8,17,0,0,
naskh,8,9,0,0,
synce,8,9,7,1,
get,8,8,0,2,
has,8,8,0,2,
p,8,9,0,2,
LDAP,8,8,0,5,
Daemon,8,8,0,5,
Business,8,8,0,0,
Dispatch,8,8,0,3,
Ex,8,8,0,1,
Shell,8,9,0,3,
CSS,8,8,0,1,
View,8,8,0,1,
Accessor,8,8,0,3,
Protocol,8,8,0,1,
Mechanize,8,8,0,3,
Kensho,8,8,0,0,
phpdocumentor,8,8,0,0,
stardict,8,8,7,0,
dic,8,16,0,0,
foundation,7,10,0,7,
command,7,9,0,4,
cron,7,11,0,7,
kr,7,14,0,0,
oss,7,9,0,3,
milter,7,10,2,5,
anaconda,7,13,8,1,
panel,7,11,0,5,
af,7,8,0,8,
fa,7,8,0,8,
fi,7,9,0,9,
hr,7,10,0,10,
logwatch,7,7,0,6,
binutils,7,42,33,5,project name
breeze,7,11,4,5,
scanner,7,10,0,7,
standalone,7,10,0,9,
ostree,7,17,4,4,
composer,7,7,0,2,
vm,7,11,2,4,
frontend,7,13,0,6,
kit,7,15,0,8,
make,7,10,1,3,
dolphin,7,12,8,3,
testsuite,7,14,0,14,
evolution,7,22,20,1,
commander,7,9,0,5,
gawk,7,9,8,0,
workstation,7,7,0,5,
bytestring,7,14,0,4,
concurrent,7,14,3,1,
containers,7,16,0,6,
monad,7,13,0,1,
template,7,10,2,4,
br,7,8,0,6,
cy,7,7,0,7,
gu,7,9,0,8,
nn,7,10,0,10,
gssapi,7,14,0,6,
events,7,9,0,7,
snap,7,10,3,1,
gorilla,7,14,0,0,
prometheus,7,13,0,1,
golangorg,7,9,0,0,
xfwm4,7,7,2,0,
nfs,7,16,10,3,
wayland,7,8,3,4,
jaxb,7,30,0,2,
jnr,7,14,14,0,
cxx,7,14,0,6,
rpc,7,14,0,6,
journal,7,8,1,5,
linux,7,16,13,0,
cdi,7,9,4,5,
memory,7,11,0,5,
backup,7,7,2,5,
transport,7,14,0,6,
postgres,7,7,0,3,
gzip,7,8,0,6,
threads,7,10,0,5,
pcre,7,20,7,6,
MySQL,7,7,1,6,
PPI,7,8,0,4,
RDF,7,13,0,1,
Info,7,7,0,6,
Scalar,7,7,0,1,
Store,7,7,0,1,
memcached,7,8,1,6,
psr,7,8,0,1,
sabre,7,7,0,0,
stack,7,10,0,3,
symfony,7,51,0,2,
dom,7,9,0,2,
dispatcher,7,14,0,7,
webkit,7,12,2,9,
root,7,110,102,7,project name
pad,7,9,0,5,
keyboard,7,8,0,7,
jsp,7,12,0,4,
sdl,7,9,0,7,
voms,7,12,8,1,
function,7,8,0,6,
SDL,7,13,2,8,
regexp,7,10,1,5,
junit,7,15,6,2,
pool,7,12,0,6,
bluecurve,7,8,8,0,
schema,7,12,0,9,
codegen,7,13,1,9,
jpa,7,13,0,4,
